Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC26","near-infrastructure/NearLocalnetNodeV2101/Resource","Suppressed","EBS encryption not required for localnet development environment","Error","The resource creates one or more EBS volumes that have encryption disabled."
"AwsSolutions-EC28","near-infrastructure/NearLocalnetNodeV2101/Resource","Suppressed","Detailed monitoring not required for localnet development environment","Error","The EC2 instance/AutoScaling launch configuration does not have detailed monitoring enabled."
"AwsSolutions-EC29","near-infrastructure/NearLocalnetNodeV2101/Resource","Suppressed","Termination protection not required for localnet development environment","Error","The EC2 instance is not part of an ASG and has Termination Protection disabled."
